corner_place_id,name,neighborhood,website,instagram_handle,timestamp,google_id,description,hours,category,price,reviews,rating
3453,Eavesdrop,Greenpoint,https://www.eavesdrop.nyc/,,2025-02-22T14:15:12.942196,ChIJHdUJnfpZwokR96zcINvxiUU,"Trendy watering hole with specialty cocktails, creative bar bites & a sophisticated sound system.","{'Saturday': '2 PM-2 AM', 'Sunday': '2 PM-1 AM', 'Monday': '5 PM-1 AM', 'Tuesday': '5 PM-1 AM', 'Wednesday': '5 PM-1 AM', 'Thursday': '5 PM-1 AM', 'Friday': '5 PM-2 AM'}",,,,
8797,Café Lyria,NoHo,,cafelyria,2025-02-22T14:15:19.720504,ChIJcVcDbvVZwokRH9wq92JCQBo,"4.6
(411)
·$1–10","{'Saturday': '8 AM to 5 PM', 'Sunday': '8 AM to 5 PM', 'Monday': '8 AM to 5 PM', 'Tuesday': '8 AM to 5 PM', 'Wednesday': '8 AM to 5 PM', 'Thursday': '8 AM to 5 PM', 'Friday': '8 AM to 5 PM.'}",Cafe,$1–10,"['Lyria cafe is an awesome cafe with a modern vibe serving great coffee and pastries. The blueberry scone I got was a delight. The interior design and atmosphere were awesome, but we could not find a place to sit down. They had One Piece on the TV, which was pretty funny.', ""small coffee shop folded into the lobby of a NoHo building on a quiet stretch of Crosby Street. if it wasn't for tables and seats often scattered in front of Cafe Lyria, you'd likely walk by this spot and not notice it. the coffee shop …"", 'Super cute small coffee shop, and the lyria coffee was delicious. I don’t usually like coffee but i really liked this one. Grandmas cookie was also delicious though a bit on the small side.', 'The absolute best vibes. Groovy music, fun plants, great decorations, eccletic furniture, super kind staff and tasty drinks.', 'It’s only four stars because they didn’t do flavored lattes. There’s only like simple syrup on a side table for sweetener/flavors. I ended up ordering the only other recognizable item, which was an iced chai tea (latte?).There’s nothing to …']",
1152,Rule of Thirds,Greenpoint,http://thirdsbk.com/,thirdsbk,2025-02-22T14:15:29.065137,ChIJaQRXYuRZwokRHjAN5MkBizY,Creative Japanese comfort fare by a lauded restaurant group in a cozy setting with tall ceilings.,,Japanese restaurant,$50–100,"['Absolutely loved the setting and atmosphere at Rule of Thirds when we stopped in for dinner. The service was also exceptional, and we loved every dish and drink we ordered (which was most of the dinner menu!). There were four of us, and we …', 'Came here for dinner and loved both the wide variety of food but also the high quality. The duck rice was my favorite but a lot of the small plates including the mushrooms were very good. The space is beautiful and Service is very friendly. Would come back!', 'Rule of Thirds offered a phenomenal dining experience. Every single dish displayed the absolute love of food! Our favorite dishes (in no particular order) were the chicken katsu sando, the hottokeki, ajitama egg salad, and the roasted …', 'What a great place to try Japanese breaky!! Unique flavors my family and I loved, it was really refreshing to try something we’ve never tried before. The food was overall great! The atmosphere was simple and elegant, I enjoyed it. The …', 'I wrote this review on Yelp back in September but just wanted to share it here as well. We absolutely loved our experience at Rule of Thirds! Even prior to arriving, I had emailed them about some special requests about pre-ordering the food …']",
485,MONO+MONO,East Village,http://www.monomonony.com/,monomono.nyc,2025-02-22T14:15:55.111857,ChIJeYoRRYNZwokRMAtxzfUoRao,Korean fried chicken & other eats served alongside soju cocktails while DJs spin jazz records.,"{'Saturday': '12 PM-12 AM', 'Sunday': '12-11 PM', 'Monday': '12-11 PM', 'Tuesday': '12-11 PM', 'Wednesday': '12-11 PM', 'Thursday': '12-11 PM', 'Friday': '12 PM-12 AM'}",,,,
419,The Metropolitan Museum of Art,Manhattan,https://www.metmuseum.org/,metmuseum,2025-02-22T14:16:05.781884,ChIJb8Jg9pZYwokR-qHGtvSkLzs,"{'Saturday': '10 AM to 9 PM', 'Sunday': '10 AM to 5 PM', 'Monday': '10 AM to 5 PM', 'Tuesday': '10 AM to 5 PM', 'Wednesday': 'Closed', 'Thursday': '10 AM to 5 PM', 'Friday': '10 AM to 9 PM.'}",,,,
121459,Bibliotheque,SoHo,https://www.bibliothequenyc.com/,bibliothequenyc,2025-02-22T18:25:50.711551,ChIJvTUD4LZZwokRPYqxLi7y9Kg,"4.3
(293)
·$$$","{'Saturday': '10 AM to 11 PM', 'Sunday': '10 AM to 10 PM', 'Monday': '10 AM to 10 PM', 'Tuesday': '10 AM to 10 PM', 'Wednesday': '10 AM to 10 PM', 'Thursday': '10 AM to 10 PM'}",Wine bar,$$$,"['Adore this place!!! The tables inside are incredible. Foods are also great, go really well with their selection of wines. Definitely willing to go back with my friends. …', 'Lovely space! It has became my son’s favourite NYC hangout spot where he can read many books while enjoying delicious croissants and matcha latte, and I can enjoy some quiet reading time over nice coffee and orange wine. A good collection …', 'Bibliotheque: A Cozy Spot for Books, Bites, and Great Drinks\n\nIf you’re looking for a place that combines great food, drinks, and a love for …', 'Perfect spot to enjoy an elevated brew and your next read. They serve delicious beverages along with an assortment of fresh baked goods. I had a golden latte myself, and it was divine. In the back half of the cafe, they have an impressive …', 'Absolutely fabulous experience with my best friend and our first time visit to Bibliotheque!! We went midweek for a quick bite to eat before exploring Soho. Such a prime location to escape the hustle/bustle of the city. The location serves …']",
2362,Devoción,Brooklyn,http://www.devocion.com/,devocionusa,2025-02-22T18:26:00.121330,ChIJi7flemFZwokRDpIJuxfOGek,"Carefully sourced Colombian coffee served in a light-filled, brick-lined space with leather sofas.","{'Saturday': '7:30 AM to 7 PM', 'Sunday': '7:30 AM to 7 PM', 'Monday': '7:30 AM to 7 PM', 'Tuesday': '7:30 AM to 7 PM', 'Wednesday': '7:30 AM to 7 PM', 'Thursday': '7:30 AM to 7 PM'}",Coffee shop,$1–10,"['From the moment I walked into the store, the aroma of Colombian coffee was unmistakable—rich, unique, and truly incomparable. As always, I ordered a cappuccino and banana bread. The service was fast, efficient, and friendly, making the …', 'I absolutely love the atmosphere of this coffee shop.\nIt strikes a perfect balance between an industrial aesthetic and a fresh, inviting appearance. …', 'Great place for a coffee stop in Brooklyn!  When I was there the line was pretty long, but it moved fairly quickly.  I got an iced latte and some beans to go.  This isn’t the kind of place to get a super sugary coffee so if that’s what you …', 'Lovely place to enjoy freshly roasted coffee ☕️\nIt is amazing to see the roasting process at the entrance!\nThey also sell coffee bags, I would come here often! …', 'Saw this beautiful place from the outside and just had to stop by. The plants, the dark wood I mean this place was stunning. They didn’t offer and sweeteners for their coffee besides a simple syrup. Tea was amazing. So many options. Overall the place was beautiful.']",
418,The Museum of Modern Art,Midtown,https://www.moma.org/,themuseumofmodernart,2025-02-22T18:26:09.530777,ChIJKxDbe_lYwokRVf__s8CPn-o,"Works from van Gogh to Warhol & beyond plus a sculpture garden, 2 cafes & The Modern restaurant.","{'Saturday': '10:30 AM to 5:30 PM', 'Sunday': '10:30 AM to 5:30 PM', 'Monday': '10:30 AM to 5:30 PM', 'Tuesday': '10:30 AM to 5:30 PM', 'Wednesday': '10:30 AM to 5:30 PM', 'Thursday': '10:30 AM to 5:30 PM'}",Modern art museum,$$$,"['What a collection! I absolutely love this place. There is so much to see and experience, so make sure to give yourself AT LEAST 4 hours to take in all they have to offer. Their collection is very impressive, and we really enjoyed seeing so …', 'So many levels of art to see! It was recommended to me to start from the very top level of the museum, then work your way down to the bottom floor. I was awarded free admission when I arrived so it added onto the amazing experience I had …', 'This is a great museum worth visiting in NYC. With so many museums, it is hard to choose which one you should check out if you are limited for time. This should definitely make your top 5. Lots of interesting exhibits and activities for …', ""Iconic museum. Impressive exhibits, cafe with delicious sandwiches, coffee, desserts ($15 per person), fantastic store (high price point). I have seen the art work of Mondrian, Matisse, and more here. 'Starry night' by von gogh is on …"", 'MoMA is an intriguing museum with an extensive collection, offering something for everyone. Despite the large number of visitors, the museum never feels overcrowded due to its size and numerous galleries, allowing for a comfortable viewing …']",
3366,Lilia,Brooklyn,http://www.lilianewyork.com/,lilianewyork,2025-02-22T18:26:18.679212,ChIJJXCD6ltZwokRJ_cwjKQH63c,"Converted auto-body shop offering wood-fired Italian fare, housemade pastas, and cocktails.","{'Saturday': '4 to 9:30 PM', 'Sunday': '4 to 9:30 PM', 'Monday': '5 to 9:30 PM', 'Tuesday': '5 to 9:30 PM', 'Wednesday': '5 to 9:30 PM', 'Thursday': '5 to 9:30 PM'}",Italian restaurant,$50–100,"['Lilia was quite the experience! There has been a lot of hype around Lilia, and I think that it lives up to it. Is it as good as some of the places in the West Village? Well, I’d say they’re very different experiences. …', 'A unique pasta forward menu with many vegetarian options\nThe pastas are fresh and well made. Many excellent starters especially the focaccia served with garlic butter. Excellent olive oil cake for desert. Also a good …', ""This is not the usual style of Italian food I like but it really blew me away! Two standouts to me were the Sheep's Milk Agnolotti and Caramelized Onion Ravioli. The former is a chewy pasta with a sweet, creamy cheese. And the latter is a …"", 'Full disclosure: I have had the great blessing to eat at Lilia about a dozen times over the last few years, the pictures attached to this review were from a visit a couple of years ago. …', 'I’ve had the privilege of eating here more than a few times and always leave extremely happy. …']",
14979,Ume,Brooklyn,http://umenewyork.com/,,2025-02-22T18:26:27.771705,ChIJ64q9nXNZwokRCt5KB8WXT6M,"Cozy, tranquil Japanese eatery for sushi, omakase, and sashimi served with seasonings, plus craft beer and sake.","{'Saturday': '1 to 4 PM, 5 to 10 PM', 'Sunday': '1 to 4 PM, 5 to 10 PM', 'Monday': 'Closed', 'Tuesday': '1 to 4 PM, 5 to 10 PM', 'Wednesday': '1 to 4 PM, 5 to 10 PM', 'Thursday': '1 to 4 PM, 5 to 10 PM'}",Japanese restaurant,$100,"['This place was so cute , we got to sit outside (covered area and heated). The food was very delicious, just wish the portion was bigger or they could give more sushi rice with out extra purchase but the quality was incredible. …', 'the place is so pretty and quite, i choose the garden and its so nice especially if you looking for date-night. the service is standard, the food is also nice and well presented also fresh. but for 78$ pp (200$ for 2people after tax and …', 'My girlfriend and I celebrated our 6-month anniversary here, and it was an unforgettable sushi experience. From the atmosphere to the service and the food, everything was outstanding. The presentation of each dish was unique, and the …', 'The place is beautiful from the lighting to the decoration. The food is really good quality and came pretty fast. The negitori though has too much emphasized on the seaweed crush making it harder to taste the fish. The bowl was absolutely …', ""Prix Fixe Set - $78\nSushi tasted fresh, and was super interesting tasting all the flavor combos! We didn't really utilize the different types of salt due to the flavor combos on …""]",
3372,Fish Cheeks,NoHo,https://www.fishcheeksnyc.com/,fishcheeksnyc,2025-02-22T18:27:00.277837,ChIJgc7fPIVZwokRQMnqTxTf_Qk,Eatery by chef-brothers from Thailand for shareable Thai seafood plates with cocktails.,,Thai restaurant,$50–100,"['Came because of the hype but my family and I thought most of our food we got was a bit too salty. Specifically thought the crispy rice salad & pork appetizer was way too salty. We do love how the fish was very flavorful though, the steamed fish was our favorite for sure. Crispy pork is very spicy so just a heads up!', 'I tried their 2025 RW menu on my first visit to the restaurant. The oysters were amazing—I loved their bold sour and spicy flavor. The chicken wings and crab fried rice came in generous portions, adding great value to the Restaurant Week …', ""We had the absolute pleasure of dining at Fish Cheeks, and I can't recommend it enough! From the moment we walked in, we were greeted by the warm, welcoming atmosphere and friendly staff. The vibe is vibrant and cozy, with just the right …"", 'Fantastic lunch with my not so little City Girl 💚 Thank goodness she can chow down! The gentleman that served us was very friendly, gave us his recommendations and suggested how to best utilize the tasty sauces. We would 100% order the …', 'Crazy good spot for Thai seafood-focused cuisine, probably one of the best in town. Every dish was amazing, but personal favorites were definitely the steamed fish main and the shrimp in 3 crab sauce appetizer with their strong flavors. …']",
9662,Librae Bakery,East Village,http://libraebakery.com/,libraebakery,2025-02-22T18:27:09.441638,ChIJDyCs8UNZwokRaNcdvn_c6jU,"Roomy hub featuring bespoke baked goods like pastries & cookies, plus indoor & outdoor seating.","{'Saturday': '8 AM to 5 PM', 'Sunday': '8 AM to 5 PM', 'Monday': '7:30 AM to 4:30 PM', 'Tuesday': '7:30 AM to 4:30 PM', 'Wednesday': '7:30 AM to 4:30 PM', 'Thursday': '7:30 AM to 4:30 PM'}",Bakery,$10–20,"['Went there around 4pm on a snowy Saturday\nInside was SUPER crowded and NOISY\nNot a lot of seats available …', 'We tried the Pistachio Rose Croissant and it was delicious. We got it when it was freshly out of the convention oven, and was warm , buttery, flaky and rich in flavors. The perfect blend of floral sweetness and nutty richness pairs …', 'Tried their famous pistachio rose croissant. It was decadent. Some pistachio croissant barely have any filling but this one had way TOO much for my liking. It was good but not near my top 3 in the city. Flat white was fine!', 'There was a line but it moved right along.  This female-owned, Middle Eastern bakery has a danish influence and the result is yum! We got 4 different pastries and shared.  The pistachio croissant was the flakiest I’ve ever had.  My favorite …', 'Atmosphere: Quite nice and friendly. However, there is almost always a queue, which is an indication of the popularity of the place. …']",
501,Kiki's,Chinatown,https://kikisnyc.com/,kikis_nyc,2025-02-22T18:27:18.639932,ChIJD-1a9ChawokRnTSi_Et62x4,Straightforward Greek cuisine such as seafood & lamb served in warm digs with exposed-wood beams.,"{'Saturday': '12 PM to 12 AM', 'Sunday': '12 to 11 PM', 'Monday': '12 to 11 PM', 'Tuesday': '12 PM to 12 AM', 'Wednesday': '12 PM to 12 AM', 'Thursday': '12 PM to 12 AM'}",Greek restaurant,$30–50,"['Food was great, this place lives up to the hype! The vibe here is an interesting mix - Greek food over Chinese-inspired plates, in a cozy vintage interior under the store sign written in Chinese characters. We ordered a lot, including all …', 'Came here for an early dinner. The crowd picks up around 6:30. You wouldn’t find a seat at the bar. There are long bench for large groups. …', ""This place hits on all levels.  The outside is the signage from the printing store that used to occupy the space but when you step inside you feel like you're in a Greek Taverna.  It's on the small side but comfortable and cozy.  The …"", 'good prices for fine mediterranean food. would recommend for a casual meal. expect to wait and sit close to strangers. …', 'Really unique kinda food. I never tried Greek cuisine before and simply felt in love with Kiki’s. I ordered 3 dishes and Saganaki was one of my fav. A great mix of cheese, honey, and lime make a complete flavor.']",
9435,Tomi Jazz,Midtown East,http://www.tomijazz.com/,,2025-02-22T18:27:28.320530,ChIJVcSnm-NYwokRnGivcMPc81Q,Low-key bar & grill featuring Japanese bites & live jazz in a cozy setting with a speakeasy vibe.,,Jazz club,$30–50,"['Had the loveliest time here with my friend. We tried 4 of their signature cocktails (my favourite was the Clever) and a couple apps as we listen to the band perform. We loved the decor and really enjoyed the live music. For those coming on …', 'I came 20 minutes earlier before open on Saturday but had waited 2.5 hours to get in. There around 30-40 seats in total with 2 hours limit per table. You may be seated in the area where staff traveling across. The music and vibe are great …', 'Thursday night, We started lining up at 6 PM and finally got in around 8 PM.\n\nThis was such a unique experience—live jazz, Japanese food, and cocktails! …', 'Awesome jazz bar! Such a great atmosphere, and food is surprisingly good - very cozy Japanese dishes. …', 'Wonderful jazz bar, the band is absolutely amazing. Great live music, good food and such a cozy-romantic atmosphere. We did spend almost 2 hours in line, I wouldn’t say I’d go again, but it was a good experience. Make sure you go early and make at least 1-2 hours for the line!']",
